Query,Query length,NCBI accession,BLAST hit / organism,Identity (%),E-value,Bit score,Raw score,Matched bases,Alignment length,Strand,GenBank
E230525-016_G15_5_27F,1636,MW857175.1,"Pseudomonas aeruginosa strain AFS/SRLAAH/2019 16S ribosomal RNA gene, partial sequence",90,0.0,1269,687,887,985,Plus/Plus,https://www.ncbi.nlm.nih.gov/nuccore/MW857175
E230525-016_I15_6_27F,1253,MN244524.1,"Enterococcus faecalis strain CP27 16S ribosomal RNA gene, partial sequence",87,0.0,878,475,692,797,Plus/Plus,https://www.ncbi.nlm.nih.gov/nuccore/MN244524
E230525-016_K15_9_27F,1214,MK072997.1,"Bacterium strain QLN201710IPB4 16S ribosomal RNA gene, partial sequence",88,0.0,752,407,575,657,Plus/Plus,https://www.ncbi.nlm.nih.gov/nuccore/MK072997
E230525-016_M15_10_27F,1271,MN307370.1,"Pseudomonas poae strain 15-H4 16S ribosomal RNA gene, partial sequence",95,0.0,987,534,604,638,Plus/Plus,https://www.ncbi.nlm.nih.gov/nuccore/MN307370
E230525-016_O15_11_27F,1230,KJ865603.1,"Stenotrophomonas maltophilia strain MCt-1 16S ribosomal RNA gene, partial sequence",78,8e-98,372,201,496,640,Plus/Plus,https://www.ncbi.nlm.nih.gov/nuccore/KJ865603
E230525-016_A17_12_27F,1529,LC628031.1,"Pseudomonas aeruginosa PSE5 gene for 16S ribosomal RNA, partial sequence",95,0.0,1984,1074,1203,1261,Plus/Plus,https://www.ncbi.nlm.nih.gov/nuccore/LC628031
E230525-016_C17_13_27F,1119,MT872006.1,"Enterobacter cloacae strain FS2 16S ribosomal RNA gene, partial sequence",74,3e-96,366,198,773,1042,Plus/Plus,https://www.ncbi.nlm.nih.gov/nuccore/MT872006
E230525-016_E17_14_27F,1644,MZ964588.1,"Atlantibacter hermannii strain ANSNAS7 16S ribosomal RNA gene, partial sequence",96,0.0,2021,1094,1210,1262,Plus/Plus,https://www.ncbi.nlm.nih.gov/nuccore/MZ964588
E230525-016_G17_15_27F,1600,MT113101.1,"Pseudomonas aeruginosa strain KI5.3 16S ribosomal RNA gene, partial sequence",90,0.0,1496,810,1052,1168,Plus/Plus,https://www.ncbi.nlm.nih.gov/nuccore/MT113101
E230525-016_I17_16_27F,1595,MH916560.1,"Klebsiella sp. strain AKB01 16S ribosomal RNA gene, partial sequence",97,0.0,1951,1056,1133,1168,Plus/Plus,https://www.ncbi.nlm.nih.gov/nuccore/MH916560
E230525-016_K17_17_27F,1233,MT509879.1,"Klebsiella oxytoca strain G1-2-12 16S ribosomal RNA gene, partial sequence",92,0.0,1546,837,1023,1108,Plus/Plus,https://www.ncbi.nlm.nih.gov/nuccore/MT509879
E230525-016_M17_18_27F,1606,LN998087.1,"Citrobacter freundii partial 16S rRNA gene, strain mammoth-8",98,0.0,1930,1045,1102,1128,Plus/Plus,https://www.ncbi.nlm.nih.gov/nuccore/LN998087
E230525-016_O17_22_27F,1252,MT150684.1,"Raoultella sp. strain YL01 16S ribosomal RNA gene, partial sequence",95,0.0,1742,943,1083,1145,Plus/Plus,https://www.ncbi.nlm.nih.gov/nuccore/MT150684
E230525-016_A19_23_27F,1245,MZ389269.1,"Klebsiella pneumoniae strain 1 16S ribosomal RNA gene, partial sequence",92,0.0,1674,906,1134,1239,Plus/Plus,https://www.ncbi.nlm.nih.gov/nuccore/MZ389269
E230525-016_C19_35_27F,1552,KX881771.1,"Enterococcus faecium strain Unkn666 16S ribosomal RNA gene, partial sequence",97,0.0,2028,1098,1179,1216,Plus/Plus,https://www.ncbi.nlm.nih.gov/nuccore/KX881771
E230525-016_E19_36_27F,1227,KX963363.1,"Pseudomonas aeruginosa strain Iraq.PA-8 16S ribosomal RNA gene, partial sequence",83,3e-82,320,173,307,372,Plus/Plus,https://www.ncbi.nlm.nih.gov/nuccore/KX963363
